Zip Code,Land Use,Count,Date
77377,Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77053,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,1/31/2019
77089,Single Family Residential (Public Street),1,1/31/2019
77396,Drainage or Detention; Landscape or Open Space,1,1/31/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77034,Unrestricted,1,1/31/2019
77055,Unrestricted,1,1/31/2019
77056,Unrestricted,1,1/31/2019
77373,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/31/2019
77040,Unrestricted,1,1/31/2019
77433,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77433,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/31/2019
77024,Unrestricted; Unrestricted Intended for Multifamily,1,1/31/2019
77380,Unrestricted,1,1/31/2019
77365,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77019,Unrestricted,1,1/31/2019
77493,Single Family Residential (Public Street),1,1/31/2019
77007,Unrestricted,1,1/31/2019
77045,Unrestricted,1,1/31/2019
77043,Single Family Residential (PAE 1/PAE 2),1,1/31/2019
77379,Unrestricted; Compensating Open Space; Drainage or Detention; Lift Station; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/31/2019
77019,Unrestricted,1,1/31/2019
77389,Lift Station; Recreation,1,1/31/2019
77055,Unrestricted,1,1/31/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77377,Drainage or Detention; Landscape or Open Space,1,1/31/2019
77433,General Plan,1,1/31/2019
77030,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/31/2019
77049,Unrestricted,1,1/31/2019
77006,Single Family Residential (Shared Driveways),1,1/31/2019
77020,Unrestricted,1,1/31/2019
77493,Unrestricted; Landscape or Open Space,1,1/31/2019
77493,Drainage or Detention; Landscape or Open Space,1,1/31/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77388,Unrestricted,1,1/31/2019
77494,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/31/2019
77429,Single Family Residential (Public Street),1,1/31/2019
77006,Unrestricted,1,1/31/2019
77429,Unrestricted,1,1/31/2019
77493,Unrestricted,1,1/31/2019
77075,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/31/2019
77075,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/31/2019
77021,Single Family Residential (Public Street),1,1/31/2019
77011,Single Family Residential (Public Street),1,1/31/2019
77018,Unrestricted Intended for Multifamily,1,1/31/2019
77044,Lift Station,1,1/31/2019
77044,General Plan,1,1/31/2019
77092,Unrestricted,1,1/31/2019
77377,Unrestricted,1,1/31/2019
77546,Unrestricted; Drainage or Detention,1,1/31/2019
77009,Single Family Residential (Public Street); Street Dedication,1,1/31/2019
77406,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,1/31/2019
77008,Single Family Residential (Public Street),1,1/31/2019
77389,Street Dedication,1,1/31/2019
77389,Commercial,1,1/31/2019
77029,Unrestricted,1,1/31/2019
77009,Unrestricted,1,1/31/2019
77011,Single Family Residential (Shared Driveways),1,1/31/2019
77006,Single Family Residential (Shared Driveways); Other,1,1/31/2019
77041,Single Family Residential (Public Street),1,1/31/2019
77493,General Plan,1,1/31/2019
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/31/2019
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/31/2019
77088,Single Family Residential (Public Street),1,1/31/2019
