Zip Code,Land Use,Count,Date
77003,Single Family Residential (Shared Driveways),1,4/11/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77054,Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77346,Drainage or Detention; Landscape or Open Space,1,4/11/2019
77093,Commercial,1,4/11/2019
77045,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77045,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77375,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77406,Street Dedication,1,4/11/2019
77081,Unrestricted,1,4/11/2019
77433,Unrestricted,1,4/11/2019
77433,General Plan,1,4/11/2019
77433,Lift Station,1,4/11/2019
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77433,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,4/11/2019
77020,Single Family Residential (Shared Driveways),1,4/11/2019
77007,Single Family Residential (Public Street),1,4/11/2019
77373,General Plan,1,4/11/2019
77004,Single Family Residential (Shared Driveways),1,4/11/2019
77021,Single Family Residential (Public Street),1,4/11/2019
77018,General Plan,1,4/11/2019
77030,Single Family Residential (Public Street),1,4/11/2019
77091,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77375,Commercial,1,4/11/2019
77375,"Water Treatment, Production or Repressurization",1,4/11/2019
77066,Unrestricted,1,4/11/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/11/2019
77028,Single Family Residential (Shared Driveways),1,4/11/2019
77498,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77449,Street Dedication,1,4/11/2019
77004,Single Family Residential (Shared Driveways),1,4/11/2019
77009,Single Family Residential (Public Street),1,4/11/2019
77377,General Plan,1,4/11/2019
77092,Unrestricted,1,4/11/2019
77018,Unrestricted,1,4/11/2019
77025,Commercial,1,4/11/2019
77084,Unrestricted,1,4/11/2019
77009,Unrestricted,1,4/11/2019
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77346,General Plan,1,4/11/2019
77346,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77004,Single Family Residential (Shared Driveways),1,4/11/2019
77389,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77389,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77020,Single Family Residential (Public Street),1,4/11/2019
77043,Drainage or Detention; Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,4/11/2019
77009,Other,1,4/11/2019
77028,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/11/2019
77053,Unrestricted,1,4/11/2019
77065,Unrestricted,1,4/11/2019
77003,Single Family Residential (Public Street),1,4/11/2019
77012,Single Family Residential (Public Street),1,4/11/2019
77023,Single Family Residential (Public Street),1,4/11/2019
77006,Unrestricted,1,4/11/2019
77008,Commercial,1,4/11/2019
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/11/2019
77365,Unrestricted,1,4/11/2019
77012,Unrestricted,1,4/11/2019
