Zip Code,Land Use,Count,Date
77038,Unrestricted,1,3/29/2018
77018,Single Family Residential (Public Street),1,3/29/2018
77373,Unrestricted,1,3/29/2018
77096,Single Family Residential (PAE 1/PAE 2),1,3/29/2018
77377,Single Family Residential (Shared Driveways),1,3/29/2018
77053,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77447,Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77045,Single Family Residential (PAE 1/PAE 2),1,3/29/2018
77045,Single Family Residential (PAE 1/PAE 2),1,3/29/2018
77018,Single Family Residential (Shared Driveways),1,3/29/2018
77396,General Plan,1,3/29/2018
77002,Unrestricted,1,3/29/2018
77002,Unrestricted,1,3/29/2018
77030,Single Family Residential (Public Street),1,3/29/2018
77433,Unrestricted,1,3/29/2018
77433,Single Family Residential (Public Street),1,3/29/2018
77433,"Landscape or Open Space; Lift Station; Single Family Residential (Public Street); Water Treatment, Production or Repressurization; Other",1,3/29/2018
77433,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77433,Street Dedication,1,3/29/2018
77051,Single Family Residential (Public Street),1,3/29/2018
77035,General Plan,1,3/29/2018
77035,Unrestricted,1,3/29/2018
77407,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77009,Single Family Residential (Shared Driveways),1,3/29/2018
77007,Unrestricted,1,3/29/2018
77034,Unrestricted,1,3/29/2018
77494,Commercial,1,3/29/2018
77047,General Plan,1,3/29/2018
77047,Unrestricted,1,3/29/2018
77494,Commercial,1,3/29/2018
77044,Unrestricted,1,3/29/2018
77377,General Plan,1,3/29/2018
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,3/29/2018
77003,Single Family Residential (Shared Driveways),1,3/29/2018
77090,Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77018,Single Family Residential (Public Street),1,3/29/2018
77003,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/29/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/29/2018
77059,Landscape or Open Space; Single Family Residential (Public Street),1,3/29/2018
77377,General Plan,1,3/29/2018
77009,Single Family Residential (Public Street),1,3/29/2018
77003,Single Family Residential (Public Street),1,3/29/2018
77055,Single Family Residential (Shared Driveways),1,3/29/2018
77071,"Church, School and Institutional",1,3/29/2018
77064,Unrestricted,1,3/29/2018
77093,Single Family Residential (Public Street),1,3/29/2018
77064,Unrestricted,1,3/29/2018
77008,Single Family Residential (Public Street),1,3/29/2018
77373,Unrestricted,1,3/29/2018
77007,Unrestricted,1,3/29/2018
77069,Unrestricted,1,3/29/2018
77007,Unrestricted,1,3/29/2018
77091,Unrestricted,1,3/29/2018
77088,Unrestricted,1,3/29/2018
77007,Unrestricted,1,3/29/2018
77018,Commercial,1,3/29/2018
77377,Single Family Residential (Public Street),1,3/29/2018
