Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
,,,,,,,,2017
,,-1,-71,-77,-87,-93,-135,2017
0,Total,12341100,18943894,17346707,20456728,651747514,131421343,2017
0,"$1 under $25,000",4534890,516039,501360,323417,10654860,953080,2017
0,"$25,000 under $50,000",3002620,1249105,1367105,1229218,52788080,5370560,2017
0,"$50,000 under $75,000",1638720,1828373,2022214,1592252,63636145,7952109,2017
0,"$75,000 under $100,000",1009320,1949324,2125054,1567201,60895208,8394410,2017
0,"$100,000 under $200,000",1530660,6111496,6249516,4619275,159848187,27103733,2017
0,"$200,000 or more",624890,7289557,5081458,11125365,303925034,81647451,2017
,,,,,,,,2017
75001,,9340,12848,9862,25706,747588,155669,2017
75001,"$1 under $25,000",2370,394,212,276,8196,736,2017
75001,"$25,000 under $50,000",2440,630,545,976,55195,6435,2017
75001,"$50,000 under $75,000",1680,1065,1018,1097,77136,11622,2017
75001,"$75,000 under $100,000",940,1169,1125,1104,64420,11091,2017
75001,"$100,000 under $200,000",1320,3650,3432,2919,147321,28839,2017
75001,"$200,000 or more",590,5940,3530,19334,395320,96946,2017
,,,,,,,,2017
75002,,30620,91891,84670,73277,2252147,463376,2017
75002,"$1 under $25,000",8910,2148,1836,869,22501,2068,2017
75002,"$25,000 under $50,000",5280,4932,4555,2888,97567,10199,2017
75002,"$50,000 under $75,000",3690,7614,7398,4231,144591,17935,2017
75002,"$75,000 under $100,000",3130,10021,10144,6120,188200,25444,2017
75002,"$100,000 under $200,000",6640,35804,32829,24016,698659,117352,2017
75002,"$200,000 or more",2970,31372,27908,35153,1100629,290378,2017
,,,,,,,,2017
75006,,23870,20276,21165,21506,863078,143618,2017
75006,"$1 under $25,000",8190,1019,1105,762,22081,1956,2017
75006,"$25,000 under $50,000",7080,2323,2774,2702,129077,13400,2017
75006,"$50,000 under $75,000",3650,3335,3799,3100,147622,19480,2017
75006,"$75,000 under $100,000",1890,3037,3223,2712,119756,17671,2017
75006,"$100,000 under $200,000",2470,7559,7921,7407,262708,45927,2017
75006,"$200,000 or more",590,3003,2343,4823,181834,45184,2017
,,,,,,,,2017
75007,,26370,40666,41872,41517,1358262,246796,2017
75007,"$1 under $25,000",7860,1460,1487,854,21362,1917,2017
75007,"$25,000 under $50,000",5960,3522,3975,2904,112403,11851,2017
75007,"$50,000 under $75,000",3920,5500,6247,3982,159037,20692,2017
75007,"$75,000 under $100,000",2700,6248,6777,4589,168320,24143,2017
75007,"$100,000 under $200,000",4690,16204,16838,15098,500992,86132,2017
75007,"$200,000 or more",1240,7732,6548,14090,396148,102061,2017
,,,,,,,,2017
75009,,6710,26650,31233,17086,574042,114980,2017
75009,"$1 under $25,000",1600,426,473,191,3891,362,2017
75009,"$25,000 under $50,000",970,989,1079,611,17067,1742,2017
75009,"$50,000 under $75,000",700,1673,1874,967,25911,2952,2017
75009,"$75,000 under $100,000",660,2492,3013,1601,37615,4709,2017
75009,"$100,000 under $200,000",1860,12113,14592,6225,195228,32320,2017
75009,"$200,000 or more",920,8957,10202,7491,294330,72895,2017
,,,,,,,,2017
75010,,14470,31805,33929,27823,916680,177915,2017
75010,"$1 under $25,000",3720,745,862,350,9987,893,2017
75010,"$25,000 under $50,000",3200,1851,1856,1558,65295,7061,2017
75010,"$50,000 under $75,000",2160,2870,3038,2285,89512,11890,2017
75010,"$75,000 under $100,000",1490,3440,3912,2436,93835,13903,2017
75010,"$100,000 under $200,000",2730,12878,13804,9488,290776,50433,2017
75010,"$200,000 or more",1170,10021,10457,11706,367275,93735,2017
,,,,,,,,2017
75013,,19110,94744,78863,57113,2150934,478307,2017
75013,"$1 under $25,000",4400,1348,1121,479,10624,982,2017
75013,"$25,000 under $50,000",2430,2621,1897,1185,48463,5241,2017
75013,"$50,000 under $75,000",1750,4049,3126,1869,70663,9295,2017
75013,"$75,000 under $100,000",1590,5918,5009,2831,95339,13440,2017
75013,"$100,000 under $200,000",4820,34648,30773,14888,531304,91728,2017
75013,"$200,000 or more",4120,46160,36937,35861,1394541,357621,2017
,,,,,,,,2017
75019,,20160,91114,64758,65756,2413300,545251,2017
75019,"$1 under $25,000",4570,1480,845,428,11317,974,2017
75019,"$25,000 under $50,000",2960,2456,1626,1582,60553,6587,2017
75019,"$50,000 under $75,000",2220,4113,3169,2603,91742,12192,2017
75019,"$75,000 under $100,000",1780,6223,4693,3121,109381,15576,2017
75019,"$100,000 under $200,000",4890,31748,24284,15785,534777,92391,2017
75019,"$200,000 or more",3740,45094,30141,42237,1605530,417531,2017
,,,,,,,,2017
75020,,10080,6362,6822,8731,366602,63004,2017
75020,"$1 under $25,000",4050,328,360,199,9928,914,2017
75020,"$25,000 under $50,000",2750,596,586,782,49595,5162,2017
75020,"$50,000 under $75,000",1320,728,739,872,52774,6604,2017
75020,"$75,000 under $100,000",780,846,943,1112,48231,6399,2017
75020,"$100,000 under $200,000",940,2376,2535,2716,95577,15823,2017
75020,"$200,000 or more",240,1488,1659,3050,110497,28102,2017
,,,,,,,,2017
75021,,3880,2246,2399,2699,123621,19869,2017
75021,"$1 under $25,000",1520,78,118,86,3866,367,2017
75021,"$25,000 under $50,000",1050,349,319,218,18254,1865,2017
75021,"$50,000 under $75,000",560,385,408,344,22405,2742,2017
75021,"$75,000 under $100,000",330,298,396,337,19759,2622,2017
75021,"$100,000 under $200,000",340,707,869,911,33898,5614,2017
75021,"$200,000 or more",80,429,289,803,25439,6659,2017
,,,,,,,,2017
75022,,11280,65214,57637,55872,1774819,439544,2017
75022,"$1 under $25,000",2730,735,549,195,5907,545,2017
75022,"$25,000 under $50,000",1060,1621,1112,671,20108,2196,2017
75022,"$50,000 under $75,000",800,2133,1774,1074,30954,4027,2017
75022,"$75,000 under $100,000",770,3419,3060,1740,45533,6304,2017
75022,"$100,000 under $200,000",2910,20554,20245,11114,322268,55250,2017
75022,"$200,000 or more",3010,36752,30897,41078,1350049,371222,2017
,,,,,,,,2017
75023,,22660,34196,35159,30913,1208061,214569,2017
75023,"$1 under $25,000",6680,1325,1474,702,18004,1636,2017
75023,"$25,000 under $50,000",4690,2745,2887,1861,89463,9647,2017
75023,"$50,000 under $75,000",3290,4172,4622,2960,136390,17908,2017
75023,"$75,000 under $100,000",2460,4656,5147,3590,154119,22217,2017
75023,"$100,000 under $200,000",4320,14658,15291,12105,467566,80565,2017
75023,"$200,000 or more",1220,6640,5738,9695,342519,82596,2017
