Zip Code,Land Use,Count,Date
77025,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/12/2018
77080,Unrestricted,1,4/12/2018
77038,Street Dedication,1,4/12/2018
77386,Landscape or Open Space; Single Family Residential (Public Street),1,4/12/2018
77377,Single Family Residential (Shared Driveways),1,4/12/2018
77396,"Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,4/12/2018
77003,Single Family Residential (Public Street),1,4/12/2018
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/12/2018
77346,Unrestricted; Landscape or Open Space,1,4/12/2018
77346,Single Family Residential (Public Street),1,4/12/2018
77024,Landscape or Open Space; Single Family Residential (Public Street),1,4/12/2018
77044,Single Family Residential (Public Street),1,4/12/2018
77063,Single Family Residential (PAE 1/PAE 2),1,4/12/2018
77063,Residential Guest Parking; Street Dedication,1,4/12/2018
77433,Unrestricted; Street Dedication,1,4/12/2018
77433,Single Family Residential (Public Street),1,4/12/2018
77433,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,4/12/2018
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/12/2018
77433,Single Family Residential (Public Street),1,4/12/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,4/12/2018
77433,Single Family Residential (Public Street),1,4/12/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,4/12/2018
77433,Street Dedication,1,4/12/2018
77091,Single Family Residential (Public Street),1,4/12/2018
77021,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/12/2018
77035,General Plan,1,4/12/2018
77035,Unrestricted,1,4/12/2018
77054,Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/12/2018
77009,Single Family Residential (Shared Driveways),1,4/12/2018
77064,Unrestricted Intended for Multifamily,1,4/12/2018
77346,Single Family Residential (Public Street),1,4/12/2018
77029,"Church, School and Institutional",1,4/12/2018
77036,Commercial,1,4/12/2018
77429,General Plan,1,4/12/2018
77044,Unrestricted,1,4/12/2018
77084,Unrestricted,1,4/12/2018
77007,Single Family Residential (Public Street),1,4/12/2018
77038,Unrestricted,1,4/12/2018
77019,Single Family Residential (Public Street),1,4/12/2018
77018,Single Family Residential (Public Street),1,4/12/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/12/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/12/2018
77048,Single Family Residential (Public Street),1,4/12/2018
77092,Unrestricted,1,4/12/2018
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/12/2018
77429,Single Family Residential (Public Street),1,4/12/2018
77377,General Plan,1,4/12/2018
77018,Single Family Residential (Public Street),1,4/12/2018
77389,Unrestricted,1,4/12/2018
77075,Other,1,4/12/2018
77009,Other,1,4/12/2018
77013,Commercial,1,4/12/2018
77034,Commercial,1,4/12/2018
77044,Unrestricted,1,4/12/2018
77346,Unrestricted,1,4/12/2018
77044,"Church, School and Institutional",1,4/12/2018
77346,Unrestricted,1,4/12/2018
77043,Unrestricted,1,4/12/2018
77069,General Plan,1,4/12/2018
77069,Unrestricted,1,4/12/2018
77377,Street Dedication,1,4/12/2018
77018,"Church, School and Institutional",1,4/12/2018
77484,Commercial; Single Family Residential (Public Street),1,4/12/2018
77007,Unrestricted,1,4/12/2018
77020,Single Family Residential (Public Street),1,4/12/2018
77018,Commercial,1,4/12/2018
77336,Single Family Residential (Public Street),1,4/12/2018
